Country_KR,Sector_Group,Project_Count_2019_2024,Share_2019_2024,Active_Years,Commitment_Raw,Disbursement_Raw,Top_Detail_Sectors
볼리비아,기타,13,0.0619,6,3476456.71,3476456.71,비특정분야(12); 성평등 조직(기구) 및 제도(1)
볼리비아,긴급구호/취약성,9,0.0429,6,1502728.14,1502728.14,사회보호/보장(7); COVID-19(2)
부룬디,공공행정,32,0.4776,6,622792.33,622764.28,공공정책 및 행정관리(15); 통신정책 및 행정관리(9); 금융정책 및 행정관리(3); 통상정책 및 행정관리(3); 거시경제 정책(1)
부룬디,기술환경에너지,14,0.209,5,121329.04,119596.04,도시개발 및 관리(4); 에너지정책 및 행정관리(4); 정보통신기술(3); 수자원보호(2); 항공운송(1)
부룬디,보건의료,11,0.1642,5,1076048.04,887607.24,보건정책 및 행정관리(9); 생식보건(1); 의료서비스(1)
부룬디,기타,6,0.0896,5,69529.01,65804.01,성평등 조직(기구) 및 제도(3); 책임감 있는 비즈니스(3)
부룬디,긴급구호/취약성,3,0.0448,3,32511.01,29262.01,여성폭력 근절(3)
부룬디,교육,1,0.0149,1,11249.0,11249.0,교사훈련(1)
부르키나파소,공공행정,7,0.7778,4,935939.0,935939.0,공공정책 및 행정관리(4); 치안제도 관리 및 개선(2); 운송정책 및 행정관리(1)
부르키나파소,기술환경에너지,1,0.1111,1,5900.0,5900.0,항공운송(1)
부르키나파소,농림수산,1,0.1111,1,2018.0,2018.0,농업 개발(1)
부탄,교육,11,0.3056,5,562788.0,562788.0,교육시설 및 특별연수(3); 중고등교육(2); 초등교육(2); 교육정책 및 행정관리(2); 교사훈련(1)
부탄,공공행정,9,0.25,5,661420.03,656186.03,공공정책 및 행정관리(8); 통계능력 강화(1)
부탄,기술환경에너지,9,0.25,5,7231142.0,604562.51,문화 및 레크리에이션(6); 항공운송(2); 정보통신기술(1)
부탄,농림수산,3,0.0833,2,506295.0,71678.4,축산(2); 농촌개발(1)
부탄,기타,2,0.0556,2,139628.0,139628.0,비특정분야(2)
부탄,긴급구호/취약성,1,0.0278,1,206588.0,206588.0,COVID-19(1)
부탄,보건의료,1,0.0278,1,0.22,0.22,기초의료설비(1)
북마케도니아,보건의료,2,0.5,2,11498.0,11498.0,보건정책 및 행정관리(2)
북마케도니아,교육,1,0.25,1,6273.0,6273.0,의료교육 및 훈련(1)
북마케도니아,공공행정,1,0.25,1,0.44,0.44,공공정책 및 행정관리(1)
브라질,기술환경에너지,2,0.4,2,1022733.0,1022733.0,생물권역 보호(1); 환경정책 및 행정관리(1)
브라질,공공행정,1,0.2,1,8390.0,8390.0,공공정책 및 행정관리(1)
브라질,보건의료,1,0.2,1,192982.0,192982.0,기초보건진료(1)
브라질,교육,1,0.2,1,0.35,0.35,"직업훈련(기초,중등수준)(1)"
사모아,보건의료,5,0.3846,4,649396.01,289066.34,기초의료설비(2); 보건정책 및 행정관리(2); 의료서비스(1)
사모아,공공행정,4,0.3077,3,541728.0,279356.26,공공정책 및 행정관리(4)
사모아,교육,2,0.1538,2,201816.0,201816.0,교육연구(1); 어업 교육/훈련(1)
사모아,기술환경에너지,2,0.1538,2,258970.02,258970.02,환경정책 및 행정관리(2)
상투메프린시페,공공행정,4,0.8,3,449361.3,463305.24,공공정책 및 행정관리(4)
상투메프린시페,보건의료,1,0.2,1,181207.0,181207.0,기초의료설비(1)
서안지구 및 가자지구,공공행정,31,0.4921,6,902191.61,5169517.61,공공정책 및 행정관리(21); 통신정책 및 행정관리(7); 입법 및 사법제도 개발(1); 치안제도 관리 및 개선(1); 공공 조달(1)
서안지구 및 가자지구,교육,10,0.1587,6,6886130.0,3796967.58,"전문대,대학(원) 교육(3); 직업훈련(기초,중등수준)(3); 교사훈련(2); 고급기술 및 관리자 교육(1); 성인 기초생활교육(1)"
서안지구 및 가자지구,기술환경에너지,9,0.1429,6,139068.14,374027.14,에너지정책 및 행정관리(5); 도시개발 및 관리(3); 연구/과학기관(1)
서안지구 및 가자지구,농림수산,4,0.0635,2,139474.0,133082.0,농업정책 및 행정관리(1); 농업금융 서비스(1); 농촌 토지 정책 및 관리(Voluntary code)(1); 농업 개발(1)
서안지구 및 가자지구,기타,4,0.0635,4,331112.17,331112.17,비특정분야(4)
서안지구 및 가자지구,보건의료,4,0.0635,3,2999225.12,550691.12,의료서비스(2); 기초의료설비(1); 보건정책 및 행정관리(1)
서안지구 및 가자지구,긴급구호/취약성,1,0.0159,1,233432.0,220353.0,재난 대비능력 강화(1)
세네갈,교육,48,0.2682,6,2572661.61,10797286.62,"취학전교육(13); 교육정책 및 행정관리(12); 전문대,대학(원) 교육(9); 운송 및 창고부문 교육(3); 교사훈련(2)"
세네갈,기술환경에너지,29,0.162,6,1515875.16,5082702.43,정보통신기술(9); 항공운송(5); 중소기업 개발(4); 수송기계 산업(3); 환경연구(2)
세네갈,기타,29,0.162,6,3380550.42,3380310.42,"비특정분야(15); 성평등 조직(기구) 및 제도(12); 섬유,피혁 및 대체소재(2)"
세네갈,농림수산,28,0.1564,6,28702722.0,11647546.98,농업 개발(19); 농촌개발(6); 농업협동조합(1); 농업정책 및 행정관리(1); 식량생산(1)
세네갈,공공행정,20,0.1117,6,6353121.1,1325922.18,공공정책 및 행정관리(13); 입법 및 사법제도 개발(4); 통계능력 강화(1); 통상정책 및 행정관리(1); 운송정책 및 행정관리(1)
세네갈,보건의료,17,0.095,6,7611152.6,9667792.02,기초보건진료(5); 기초의료설비(5); 보건정책 및 행정관리(3); 의료서비스(2); 생식보건(1)
세네갈,긴급구호/취약성,8,0.0447,6,197922.01,194673.01,사회보호/보장(3); 여성폭력 근절(3); COVID-19(2)
세르비아,보건의료,3,0.25,3,200292.0,200292.0,보건정책 및 행정관리(2); 기초의료설비(1)
세르비아,교육,3,0.25,2,111672.0,107623.0,고급기술 및 관리자 교육(2); 의료교육 및 훈련(1)
세르비아,공공행정,2,0.1667,2,120017.0,120017.0,운송정책 및 행정관리(1); 치안제도 관리 및 개선(1)
세르비아,기술환경에너지,2,0.1667,2,106171.11,106171.11,정보통신기술(1); 환경연구(1)
세르비아,긴급구호/취약성,1,0.0833,1,128464.0,128464.0,사회보호/보장(1)
세르비아,기타,1,0.0833,1,0.39,0.39,비특정분야(1)
세인트루시아,기술환경에너지,5,0.7143,3,194999.0,128084.22,문화 및 레크리에이션(2); 도로운송(2); 항공운송(1)
세인트루시아,공공행정,1,0.1429,1,113276.0,113276.0,공공정책 및 행정관리(1)
세인트루시아,보건의료,1,0.1429,1,204158.0,204158.0,의료서비스(1)
세인트빈센트그레나딘,교육,2,0.6667,2,113276.01,113276.01,교육시설 및 특별연수(1); 교육정책 및 행정관리(1)
세인트빈센트그레나딘,기술환경에너지,1,0.3333,1,146232.0,146232.0,에너지정책 및 행정관리(1)
소말리아,보건의료,2,0.6667,2,160000.0,118185.01,보건정책 및 행정관리(1); 의료서비스(1)
소말리아,기타,1,0.3333,1,168237.0,168237.0,고용 창출(1)
솔로몬제도,기술환경에너지,25,0.3846,5,458384.03,454970.03,기술연구개발(7); 환경연구(5); 수송기계 산업(2); 엔지니어링(기계공업)(2); 정보통신기술(2)
솔로몬제도,교육,14,0.2154,3,786028.0,785634.0,"어업 교육/훈련(3); 직업훈련(기초,중등수준)(2); 중고등교육(2); 취학전교육(2); 초등교육(2)"
솔로몬제도,농림수산,8,0.1231,2,77980.0,76984.0,농촌개발(3); 농수산물 가공업(2); 식량생산(2); 농업정책 및 행정관리(1)
솔로몬제도,보건의료,7,0.1077,4,105182.01,1475575.01,기초보건진료(2); 생식보건(2); 보건인력개발(2); 보건정책 및 행정관리(1)
솔로몬제도,공공행정,7,0.1077,5,1183147.0,1182359.0,공공정책 및 행정관리(3); 통상정책 및 행정관리(2); 금융정책 및 행정관리(2)
솔로몬제도,기타,4,0.0615,2,442681.0,442681.0,"비특정분야(2); 섬유,피혁 및 대체소재(2)"
수단,보건의료,5,0.2778,4,7005181.0,4950835.0,기초보건진료(4); 보건정책 및 행정관리(1)
수단,교육,5,0.2778,5,5000000.0,1736322.02,"직업훈련(기초,중등수준)(5)"
수단,기술환경에너지,3,0.1667,3,201852.0,231487.0,문화 및 레크리에이션(2); 환경연구(1)
수단,기타,2,0.1111,2,48023.0,48023.0,비특정분야(2)
수단,농림수산,2,0.1111,2,11159.0,11159.0,농업 개발(1); 농업정책 및 행정관리(1)
수단,긴급구호/취약성,1,0.0556,1,0.0,0.0,"전염병 관리 및 예방(말라리아,결핵, 성병, 코로나19 제외)(1)"
수리남,기술환경에너지,4,0.5714,2,16523.05,16523.05,환경정책 및 행정관리(3); 에너지정책 및 행정관리(1)
수리남,농림수산,2,0.2857,2,605186.02,605186.02,농업관련 기자재(1); 어업 개발(1)
수리남,보건의료,1,0.1429,1,403458.0,403458.0,의료서비스(1)
스리랑카,공공행정,77,0.2593,6,13774652.86,4358155.28,공공정책 및 행정관리(38); 공공재정관리(8); 통신정책 및 행정관리(6); 입법 및 사법제도 개발(6); 거시경제 정책(4)
스리랑카,교육,63,0.2121,6,12977199.06,19375791.53,"교육정책 및 행정관리(13); 전문대,대학(원) 교육(13); 교육시설 및 특별연수(9); 초등교육(9); 직업훈련(기초,중등수준)(7)"
스리랑카,기술환경에너지,61,0.2054,6,5254878.43,2690156.52,정보통신기술(17); 도시개발 및 관리(12); 수자원정책 및 행정관리(5); 환경정책 및 행정관리(5); 에너지정책 및 행정관리(5)
스리랑카,농림수산,39,0.1313,6,7438131.04,6026607.61,농업정책 및 행정관리(8); 어업 개발(6); 농촌개발(6); 농업관련 서비스(6); 식량생산(5)
스리랑카,기타,28,0.0943,6,4183524.34,4182900.34,성평등 조직(기구) 및 제도(12); 비특정분야(12); 다부문 원조(3); 석유 및 가스(1)
스리랑카,보건의료,22,0.0741,6,1441844.24,6443737.27,의료서비스(14); 보건정책 및 행정관리(4); 기초의료설비(3); 기초보건진료(1)
스리랑카,긴급구호/취약성,7,0.0236,3,81311.09,78062.09,여성폭력 근절(4); 사회보호/보장(3)
시리아,보건의료,1,0.3333,1,5613.0,5613.0,보건정책 및 행정관리(1)
시리아,공공행정,1,0.3333,1,4828.0,4828.0,치안제도 관리 및 개선(1)
시리아,농림수산,1,0.3333,1,5104.0,5104.0,농업정책 및 행정관리(1)
시에라리온,공공행정,8,0.4444,3,572123.15,572123.15,공공정책 및 행정관리(7); 통상정책 및 행정관리(1)
시에라리온,기술환경에너지,5,0.2778,3,19534.04,19534.04,정보통신기술(3); 항공운송(1); 수자원보호(1)
시에라리온,보건의료,4,0.2222,2,6519.25,6519.25,보건인력개발(3); 기초보건진료(1)
시에라리온,긴급구호/취약성,1,0.0556,1,200168.0,200168.0,여성폭력 근절(1)
아르메니아,공공행정,2,0.5,1,31150.0,31150.0,공공정책 및 행정관리(2)
아르메니아,보건의료,2,0.5,2,335649.0,335649.0,기초의료설비(2)
아르헨티나,보건의료,2,0.4,2,22724.0,22724.0,보건정책 및 행정관리(2)
아르헨티나,교육,1,0.2,1,6273.0,6273.0,의료교육 및 훈련(1)
아르헨티나,농림수산,1,0.2,1,373696.0,373696.0,농업관련 기자재(1)
아르헨티나,기술환경에너지,1,0.2,1,0.0,0.0,환경정책 및 행정관리(1)
아메리카 지역 (미배분),기타,6,0.5,6,12122440.91,12122440.91,비특정분야(6)
아메리카 지역 (미배분),기술환경에너지,6,0.5,6,0.0,1526727.0,환경정책 및 행정관리(6)
아시아 지역 (미배분),기타,5,0.4167,5,29790566.59,29790566.59,비특정분야(5)
아시아 지역 (미배분),기술환경에너지,5,0.4167,5,4000000.0,3131749.45,환경정책 및 행정관리(5)
아시아 지역 (미배분),긴급구호/취약성,2,0.1667,2,467785.0,467785.0,COVID-19(2)
아이티,공공행정,5,0.5556,4,241561.0,241085.0,분권화 및 지방정부 지원(3); 공공정책 및 행정관리(1); 입법 및 사법제도 개발(1)
아이티,기술환경에너지,2,0.2222,2,18188.1,18188.42,환경정책 및 행정관리(1); 도로운송(1)
아이티,농림수산,1,0.1111,1,3704.0,3497.0,식량생산(1)
아이티,교육,1,0.1111,1,1450000.0,1040914.0,초등교육(1)
아제르바이잔,공공행정,53,0.351,6,2982866.34,1857028.74,공공정책 및 행정관리(20); 금융정책 및 행정관리(12); 분권화 및 지방정부 지원(9); 공업정책 및 행정관리(4); 공공재정관리(4)
아제르바이잔,기술환경에너지,39,0.2583,6,1301663.17,1301591.17,정보통신기술(8); 도시개발 및 관리(8); 환경정책 및 행정관리(5); 에너지정책 및 행정관리(4); 환경연구(4)
아제르바이잔,농림수산,20,0.1325,6,704261.2,686928.2,농업정책 및 행정관리(10); 농업 개발(7); 농촌개발(3)
아제르바이잔,기타,16,0.106,6,1130102.19,1130626.19,비특정분야(12); 성평등 조직(기구) 및 제도(3); 식품 안전과 품질(1)
아제르바이잔,교육,9,0.0596,5,238649.0,4876635.0,"교사훈련(5); 교육시설 및 특별연수(2); 직업훈련(기초,중등수준)(1); 고급기술 및 관리자 교육(1)"
아제르바이잔,긴급구호/취약성,7,0.0464,5,274000.0,274000.0,"COVID-19(2); 재난위험경감(2); 전염병 관리 및 예방(말라리아,결핵, 성병, 코로나19 제외)(2); 인권 강화(1)"
아제르바이잔,보건의료,7,0.0464,5,447608.78,455860.78,보건정책 및 행정관리(4); 의료서비스(2); 인구정책 및 생식보건 인력개발(1)
아프가니스탄,공공행정,38,0.3762,5,736429.0,719358.0,금융정책 및 행정관리(8); 통신정책 및 행정관리(8); 분권화 및 지방정부 지원(6); 통상정책 및 행정관리(6); 공공정책 및 행정관리(3)
아프가니스탄,농림수산,22,0.2178,5,272505.0,268983.0,농업 개발(8); 식량생산(8); 어업 개발(3); 농촌개발(3)
아프가니스탄,기술환경에너지,21,0.2079,4,256636.0,617831.0,환경연구(8); 기술연구개발(3); 에너지정책 및 행정관리(3); 수자원정책 및 행정관리(2); 도시개발 및 관리(2)
아프가니스탄,보건의료,8,0.0792,5,122785.0,123141.0,보건정책 및 행정관리(8)
아프가니스탄,교육,6,0.0594,2,10234415.0,1522294.0,교육시설 및 특별연수(1); 교육연구(1); 고급기술 및 관리자 교육(1); 교사훈련(1); 의료교육 및 훈련(1)
아프가니스탄,기타,3,0.0297,2,280464.0,274793.0,성평등 조직(기구) 및 제도(2); 해양광물(1)
아프가니스탄,긴급구호/취약성,3,0.0297,3,39411.0,40927.0,재난위험경감(3)
아프리카 지역 (미배분),긴급구호/취약성,7,0.5385,5,14788967.0,12469032.97,"전염병 관리 및 예방(말라리아,결핵, 성병, 코로나19 제외)(4); COVID-19(3)"
아프리카 지역 (미배분),기타,6,0.4615,6,23719189.76,23719189.76,비특정분야(6)
알바니아,공공행정,2,1.0,2,31156.0,31156.0,치안제도 관리 및 개선(1); 공공정책 및 행정관리(1)
알제리,공공행정,39,0.3578,6,7137798.06,1296591.64,공공정책 및 행정관리(11); 분권화 및 지방정부 지원(7); 운송정책 및 행정관리(5); 통신정책 및 행정관리(5); 통상정책 및 행정관리(4)
알제리,기술환경에너지,27,0.2477,6,13372071.06,1735392.37,에너지정책 및 행정관리(10); 환경정책 및 행정관리(6); 무역진흥(4); 수자원정책 및 행정관리(3); 기술연구개발(2)
알제리,농림수산,20,0.1835,6,860664.01,3292790.07,농업 개발(10); 어업 개발(9); 어업정책 및 행정관리(1)
알제리,기타,14,0.1284,6,939286.09,939286.09,비특정분야(10); 석유 및 가스(1); 구호 물자지원 및 서비스(1); 성평등 조직(기구) 및 제도(1); 개도국 국내 재원조성(1)
알제리,교육,6,0.055,3,396256.0,397772.0,운송 및 창고부문 교육(3); 에너지 교육/훈련(2); 고급기술 및 관리자 교육(1)
알제리,보건의료,2,0.0183,1,0.03,0.03,보건정책 및 행정관리(1); 보건인력개발(1)
알제리,긴급구호/취약성,1,0.0092,1,21055.0,21055.0,재난 대비능력 강화(1)
앙골라,공공행정,6,0.4286,6,726134.0,726134.0,공공정책 및 행정관리(6)
