Country_KR,Country,Country_Code,Series_Code,Indicator_Name,Signal_KR,Latest_Year,Latest_Value,WDI_Coverage_2019_2025,Score_Direction,Need_Weight,Latest_Value_Display
캄보디아,Cambodia,KHM,SP.URB.TOTL.IN.ZS,Urban population,도시화,2025.0,41.10561939401,7,context,0.0,41.1%
캄보디아,Cambodia,KHM,SP.POP.TOTL,Population,인구규모,2025.0,17847982.0,7,context,0.0,17.8M
캄보디아,Cambodia,KHM,EN.GHG.CO2.PC.CE.AR5,CO2 per capita,탄소배출,2024.0,1.10207037315065,6,context,0.0,1.10 tCO2e/cap
필리핀,Philippines,PHL,NY.GDP.PCAP.CD,GDP per capita,소득수준,2025.0,4170.72347271451,7,lower_is_higher_need,0.25,"$4,171"
필리핀,Philippines,PHL,SI.POV.DDAY,Poverty rate,빈곤,2023.0,5.3,2,higher_is_higher_need,0.15,5.3%
필리핀,Philippines,PHL,SP.DYN.LE00.IN,Life expectancy,보건·생활여건,2024.0,69.946,6,lower_is_higher_need,0.1,69.9 years
필리핀,Philippines,PHL,SE.SEC.ENRR,Secondary enrollment,교육,2024.0,85.2945085684493,6,lower_is_higher_need,0.15,85.3%
필리핀,Philippines,PHL,EG.ELC.ACCS.ZS,Access to electricity,전력접근,2023.0,98.0,5,lower_is_higher_need,0.15,98.0%
필리핀,Philippines,PHL,IT.NET.USER.ZS,Internet users,디지털접근,2024.0,67.26300914,6,lower_is_higher_need,0.15,67.3%
필리핀,Philippines,PHL,SL.UEM.TOTL.ZS,Unemployment,고용,2025.0,2.235,7,higher_is_higher_need,0.05,2.2%
필리핀,Philippines,PHL,SP.URB.TOTL.IN.ZS,Urban population,도시화,2025.0,55.7732907605332,7,context,0.0,55.8%
필리핀,Philippines,PHL,SP.POP.TOTL,Population,인구규모,2025.0,116786962.0,7,context,0.0,116.8M
필리핀,Philippines,PHL,EN.GHG.CO2.PC.CE.AR5,CO2 per capita,탄소배출,2024.0,1.5030109111702,6,context,0.0,1.50 tCO2e/cap
탄자니아,Tanzania,TZA,NY.GDP.PCAP.CD,GDP per capita,소득수준,2025.0,1318.81921386719,7,lower_is_higher_need,0.25,"$1,319"
탄자니아,Tanzania,TZA,SI.POV.DDAY,Poverty rate,빈곤,,,0,higher_is_higher_need,0.15,N/A
탄자니아,Tanzania,TZA,SP.DYN.LE00.IN,Life expectancy,보건·생활여건,2024.0,67.212,6,lower_is_higher_need,0.1,67.2 years
탄자니아,Tanzania,TZA,SE.SEC.ENRR,Secondary enrollment,교육,2021.0,28.231330871582,3,lower_is_higher_need,0.15,28.2%
탄자니아,Tanzania,TZA,EG.ELC.ACCS.ZS,Access to electricity,전력접근,2023.0,48.3,5,lower_is_higher_need,0.15,48.3%
탄자니아,Tanzania,TZA,IT.NET.USER.ZS,Internet users,디지털접근,2024.0,31.16209984,6,lower_is_higher_need,0.15,31.2%
탄자니아,Tanzania,TZA,SL.UEM.TOTL.ZS,Unemployment,고용,2025.0,1.572,7,higher_is_higher_need,0.05,1.6%
