Rank_V21,Country_KR,WDI_Country_Name,WDI_Country_Code,Region_KR,K_ODA_Opportunity_Score_V21,Development_Need_Score,Korea_Coop_Base_Score_V2,Sector_Fit_Score_V2,Opportunity_Gap_Score_V2,Policy_Alignment_Score_V21,Risk_Feasibility_Score_V21,Data_Reliability_Score_V21,Policy_Alignment_Band_V21,Risk_Band_V21,Candidate_Type_V21,국가협력전략 대상국가,한국국제협력단 사무소 주재 여부,취약국가 지수,부패인식점수,전자정부지수,인간개발지수,기업여건,Project_Count_2019_2024,Project_Count_2024,Active_Years_2019_2024,Total_Disbursement_Raw,Top_Actionable_Sectors_2019_2024,Top_Detail_Sectors_2019_2024,Recommended_Service_Angle_V2,WDI_Core_Coverage_%,WDI_Core_Missing_Count,Policy_Risk_Data_Coverage_%,Score_Model_Status
37,모로코,Morocco,MAR,아프리카 > 사하라 이북,43.21,34.75,11.22,90.67,38.05,25.68,63.9,92.56,낮음,중간/검증 필요,탐색 후보,N,Y,71.22105,41.0,0.5729,0.686,53.0,126,23,6,19310292.34,교육(43); 기술환경에너지(31); 공공행정(19),공공정책 및 행정관리(12); 비특정분야(11); 에너지정책 및 행정관리(9); 교육정책 및 행정관리(7); 정보통신기술(6),"교육, 기술환경에너지",85.7,1,100.0,V2.1_KOICA+WDI+PolicyAlignment+RiskFeasibility; CPS PDF RAG parsed separately in KODA_cps_pdf_chunks.csv
38,요르단,Jordan,JOR,아시아 > 중동,43.06,33.21,14.22,88.39,34.84,26.33,65.89,92.56,낮음,중간/검증 필요,탐색 후보,N,Y,75.42853,48.0,0.5309,0.729,75.0,140,25,6,35709728.06,교육(51); 공공행정(41); 기술환경에너지(23),"공공정책 및 행정관리(19); 비특정분야(12); 전문대,대학(원) 교육(10); 중고등교육(8); 수자원정책 및 행정관리(6)","교육, 공공행정",85.7,1,100.0,V2.1_KOICA+WDI+PolicyAlignment+RiskFeasibility; CPS PDF RAG parsed separately in KODA_cps_pdf_chunks.csv
39,이라크,Iraq,IRQ,아시아 > 중동,42.8,32.66,12.69,94.74,34.88,46.86,27.41,92.56,낮음,높음/보완장치 필요,탐색 후보,N,Y,95.94117,20.0,0.436,0.674,172.0,126,12,6,31312330.66,공공행정(39); 기술환경에너지(30); 교육(22),"공공정책 및 행정관리(24); 의료서비스(14); 통신정책 및 행정관리(9); 직업훈련(기초,중등수준)(9); 에너지정책 및 행정관리(8)","공공행정, 기술환경에너지",85.7,1,100.0,V2.1_KOICA+WDI+PolicyAlignment+RiskFeasibility; CPS PDF RAG parsed separately in KODA_cps_pdf_chunks.csv
40,튀니지,Tunisia,TUN,아프리카 > 사하라 이북,42.7,32.85,10.37,89.8,36.14,24.87,69.7,92.56,낮음,중간/검증 필요,탐색 후보,N,Y,68.12591,43.0,0.6526,0.74,78.0,131,24,6,9443420.28,공공행정(59); 기술환경에너지(23); 교육(21),"공공정책 및 행정관리(32); 비특정분야(12); 공공재정관리(9); 비즈니스 정책 및 행정관리(6); 전문대,대학(원) 교육(5)","공공행정, 기술환경에너지",85.7,1,100.0,V2.1_KOICA+WDI+PolicyAlignment+RiskFeasibility; CPS PDF RAG parsed separately in KODA_cps_pdf_chunks.csv
41,피지,Fiji,FJI,오세아니아 > 멜라네시아,42.58,31.79,14.45,93.51,33.09,21.64,63.83,95.62,낮음,중간/검증 필요,탐색 후보,N,Y,69.85212,,0.6585,0.743,102.0,175,43,6,17250335.8,기술환경에너지(45); 교육(37); 공공행정(28),공공정책 및 행정관리(20); 의료서비스(12); 비특정분야(11); 정보통신기술(10); 환경정책 및 행정관리(9),"기술환경에너지, 교육",100.0,0,87.5,V2.1_KOICA+WDI+PolicyAlignment+RiskFeasibility; CPS PDF RAG parsed separately in KODA_cps_pdf_chunks.csv
42,아제르바이잔,Azerbaijan,AZE,아시아 > 서남 및 중앙아시아,42.15,30.0,11.93,92.62,32.03,27.0,64.9,92.56,낮음,중간/검증 필요,탐색 후보,N,Y,71.28216,30.0,0.71,0.756,34.0,151,20,6,10582670.08,공공행정(53); 기술환경에너지(39); 농림수산(20),공공정책 및 행정관리(20); 금융정책 및 행정관리(12); 비특정분야(12); 농업정책 및 행정관리(10); 분권화 및 지방정부 지원(9),"공공행정, 기술환경에너지",85.7,1,100.0,V2.1_KOICA+WDI+PolicyAlignment+RiskFeasibility; CPS PDF RAG parsed separately in KODA_cps_pdf_chunks.csv
43,서안지구 및 가자지구,West Bank and Gaza,PSE,아시아 > 중동,41.71,38.35,5.69,88.49,45.27,26.01,51.57,82.5,낮음,중간/검증 필요,탐색 후보,N,Y,,,,,117.0,63,9,6,10575750.62,공공행정(31); 교육(10); 기술환경에너지(9),"공공정책 및 행정관리(21); 통신정책 및 행정관리(7); 에너지정책 및 행정관리(5); 비특정분야(4); 전문대,대학(원) 교육(3)","공공행정, 교육",100.0,0,50.0,V2.1_KOICA+WDI+PolicyAlignment+RiskFeasibility; CPS PDF RAG parsed separately in KODA_cps_pdf_chunks.csv
44,우크라이나,Ukraine,UKR,유럽,41.55,30.59,5.34,77.92,35.48,45.38,60.06,95.66,낮음,중간/검증 필요,탐색 후보,Y,N,69.00704,30.0,0.7119,0.779,64.0,24,13,4,30371272.73,기술환경에너지(10); 보건의료(5); 교육(3),정보통신기술(3); 인권 강화(2); 의료서비스(2); 결핵 관리 및 예방(2); 공공정책 및 행정관리(2),"기술환경에너지, 보건의료",100.0,0,100.0,V2.1_KOICA+WDI+PolicyAlignment+RiskFeasibility; CPS PDF RAG parsed separately in KODA_cps_pdf_chunks.csv
45,과테말라,Guatemala,GTM,아메리카 > 중앙 아메리카,41.32,40.31,6.41,81.39,47.38,23.28,45.23,100.0,낮음,높음/보완장치 필요,탐색 후보,N,Y,79.17635,26.0,0.5155,0.663,96.0,72,13,6,11270518.06,공공행정(26); 기술환경에너지(24); 농림수산(8),공공정책 및 행정관리(11); 비특정분야(10); 치안제도 관리 및 개선(8); 정보통신기술(6); 환경정책 및 행정관리(5),"공공행정, 기술환경에너지",100.0,0,100.0,V2.1_KOICA+WDI+PolicyAlignment+RiskFeasibility; CPS PDF RAG parsed separately in KODA_cps_pdf_chunks.csv
46,온두라스,Honduras,HND,아메리카 > 중앙 아메리카,40.48,46.38,5.62,88.79,55.59,2.07,35.75,100.0,낮음,높음/보완장치 필요,탐색 후보,N,N,76.78898,26.0,0.4486,0.634,133.0,70,9,6,5929606.61,공공행정(21); 교육(16); 기술환경에너지(12),공공정책 및 행정관리(8); 치안제도 관리 및 개선(7); 농촌개발(5); 교사훈련(5); 환경정책 및 행정관리(5),"공공행정, 교육",100.0,0,100.0,V2.1_KOICA+WDI+PolicyAlignment+RiskFeasibility; CPS PDF RAG parsed separately in KODA_cps_pdf_chunks.csv
47,알제리,Algeria,DZA,아프리카 > 사하라 이북,39.49,32.8,8.6,84.55,36.86,21.82,53.04,92.56,낮음,중간/검증 필요,탐색 후보,N,Y,74.57518,35.0,0.5173,0.748,157.0,109,17,6,7682887.2,공공행정(39); 기술환경에너지(27); 농림수산(20),공공정책 및 행정관리(11); 농업 개발(10); 에너지정책 및 행정관리(10); 비특정분야(10); 어업 개발(9),"공공행정, 기술환경에너지",85.7,1,100.0,V2.1_KOICA+WDI+PolicyAlignment+RiskFeasibility; CPS PDF RAG parsed separately in KODA_cps_pdf_chunks.csv
48,도미니카공화국,Dominican Republic,DOM,아메리카 > 카리브해,38.42,23.52,12.62,87.68,24.07,22.62,60.63,100.0,낮음,중간/검증 필요,탐색 후보,N,Y,64.3562,28.0,0.6782,0.756,115.0,152,30,6,15618631.23,교육(42); 공공행정(41); 기술환경에너지(14),"공공정책 및 행정관리(27); 비특정분야(12); 전문대,대학(원) 교육(8); 교육정책 및 행정관리(6); 가족계획(6)","교육, 공공행정",100.0,0,100.0,V2.1_KOICA+WDI+PolicyAlignment+RiskFeasibility; CPS PDF RAG parsed separately in KODA_cps_pdf_chunks.csv
49,태국,Thailand,THA,아시아 > 극동 아시아,35.14,22.77,8.85,86.38,24.34,3.82,67.13,100.0,낮음,중간/검증 필요,탐색 후보,N,N,70.81358,36.0,0.7565,0.777,21.0,104,20,6,12615070.66,교육(45); 공공행정(23); 기술환경에너지(17),"공공정책 및 행정관리(14); 교육시설 및 특별연수(9); 전문대,대학(원) 교육(8); 비특정분야(7); 교육정책 및 행정관리(6)","교육, 공공행정",100.0,0,100.0,V2.1_KOICA+WDI+PolicyAlignment+RiskFeasibility; CPS PDF RAG parsed separately in KODA_cps_pdf_chunks.csv
50,코스타리카,Costa Rica,CRI,아메리카 > 중앙 아메리카,28.27,2.97,4.91,82.2,0.0,0.3,91.73,100.0,낮음,낮음/실행가능성 높음,탐색 후보,N,N,40.18402,56.0,0.7576,0.81,74.0,55,10,6,8847276.85,공공행정(20); 기술환경에너지(16); 교육(13),공공정책 및 행정관리(13); 중소기업 개발(6); 정보통신기술(3); 금융정책 및 행정관리(3); 교육시설 및 특별연수(3),"공공행정, 기술환경에너지",100.0,0,100.0,V2.1_KOICA+WDI+PolicyAlignment+RiskFeasibility; CPS PDF RAG parsed separately in KODA_cps_pdf_chunks.csv
