Rank_V21,Country_KR,WDI_Country_Name,WDI_Country_Code,Region_KR,K_ODA_Opportunity_Score_V21,Development_Need_Score,Korea_Coop_Base_Score_V2,Sector_Fit_Score_V2,Opportunity_Gap_Score_V2,Policy_Alignment_Score_V21,Risk_Feasibility_Score_V21,Data_Reliability_Score_V21,Policy_Alignment_Band_V21,Risk_Band_V21,Candidate_Type_V21,국가협력전략 대상국가,한국국제협력단 사무소 주재 여부,취약국가 지수,부패인식점수,전자정부지수,인간개발지수,기업여건,Project_Count_2019_2024,Project_Count_2024,Active_Years_2019_2024,Total_Disbursement_Raw,Top_Actionable_Sectors_2019_2024,Top_Detail_Sectors_2019_2024,Recommended_Service_Angle_V2,WDI_Core_Coverage_%,WDI_Core_Missing_Count,Policy_Risk_Data_Coverage_%,Score_Model_Status
11,콩고민주공화국(DR콩고),"Congo, Dem. Rep.",COD,아프리카 > 사하라 이남 > 중부아프리카,58.36,86.58,17.66,95.01,92.94,26.88,6.02,100.0,낮음,높음/보완장치 필요,고수요·고위험: 국제기구/인도지원 연계형,N,Y,109.3946,18.0,0.258,0.48,183.0,221,31,6,16863325.45,공공행정(77); 기술환경에너지(51); 보건의료(23),공공정책 및 행정관리(41); 보건정책 및 행정관리(18); 기술연구개발(16); 통신정책 및 행정관리(14); 비특정분야(12),"공공행정, 기술환경에너지",100.0,0,100.0,V2.1_KOICA+WDI+PolicyAlignment+RiskFeasibility; CPS PDF RAG parsed separately in KODA_cps_pdf_chunks.csv
12,인도네시아,Indonesia,IDN,아시아 > 극동 아시아,58.19,32.29,45.29,96.53,20.15,85.42,67.48,100.0,높음,중간/검증 필요,정책정합·협력기반: 확장형 협력 후보,Y,Y,67.8455,40.0,0.6612,0.718,73.0,562,107,6,45045556.42,공공행정(225); 기술환경에너지(106); 교육(74),공공정책 및 행정관리(103); 도시개발 및 관리(29); 정보통신기술(22); 보건정책 및 행정관리(21); 교육정책 및 행정관리(19),"공공행정, 기술환경에너지",100.0,0,100.0,V2.1_KOICA+WDI+PolicyAlignment+RiskFeasibility; CPS PDF RAG parsed separately in KODA_cps_pdf_chunks.csv
13,모잠비크,Mozambique,MOZ,아프리카 > 사하라 이남 > 동부아프리카,57.6,85.27,10.3,93.48,100.0,21.39,23.67,92.56,낮음,높음/보완장치 필요,고수요·고위험: 국제기구/인도지원 연계형,N,Y,91.69371,26.0,0.3564,0.456,138.0,124,19,6,12855086.83,공공행정(29); 농림수산(28); 기술환경에너지(24),공공정책 및 행정관리(19); 비특정분야(11); 농업 개발(10); 환경정책 및 행정관리(8); 수자원정책 및 행정관리(8),"공공행정, 농림수산",85.7,1,100.0,V2.1_KOICA+WDI+PolicyAlignment+RiskFeasibility; CPS PDF RAG parsed separately in KODA_cps_pdf_chunks.csv
14,세네갈,Senegal,SEN,아프리카 > 사하라 이남 > 서부아프리카,57.3,55.1,17.77,91.9,57.67,70.24,48.83,100.0,중간,높음/보완장치 필요,탐색 후보,Y,Y,74.56465,45.0,0.421,0.512,123.0,179,23,6,42096233.66,교육(48); 기술환경에너지(29); 농림수산(28),농업 개발(19); 비특정분야(15); 공공정책 및 행정관리(13); 취학전교육(13); 교육정책 및 행정관리(12),"교육, 기술환경에너지",100.0,0,100.0,V2.1_KOICA+WDI+PolicyAlignment+RiskFeasibility; CPS PDF RAG parsed separately in KODA_cps_pdf_chunks.csv
15,몽골,Mongolia,MNG,아시아 > 극동 아시아,56.26,26.81,40.18,96.56,17.94,87.58,71.05,100.0,높음,낮음/실행가능성 높음,정책정합·협력기반: 확장형 협력 후보,Y,Y,51.93521,35.0,0.6497,0.737,81.0,479,88,6,51400560.23,공공행정(151); 기술환경에너지(113); 교육(96),"공공정책 및 행정관리(57); 정보통신기술(25); 도시개발 및 관리(23); 보건정책 및 행정관리(21); 전문대,대학(원) 교육(19)","공공행정, 기술환경에너지",100.0,0,100.0,V2.1_KOICA+WDI+PolicyAlignment+RiskFeasibility; CPS PDF RAG parsed separately in KODA_cps_pdf_chunks.csv
16,네팔,Nepal,NPL,아시아 > 서남 및 중앙아시아,56.12,45.01,29.45,96.06,39.27,74.12,45.2,100.0,중간,높음/보완장치 필요,탐색 후보,Y,Y,82.5666,34.0,0.4699,0.602,94.0,343,58,6,42534716.81,공공행정(99); 기술환경에너지(58); 농림수산(57),공공정책 및 행정관리(46); 정보통신기술(19); 식량생산(16); 농업 개발(15); 보건정책 및 행정관리(15),"공공행정, 기술환경에너지",100.0,0,100.0,V2.1_KOICA+WDI+PolicyAlignment+RiskFeasibility; CPS PDF RAG parsed separately in KODA_cps_pdf_chunks.csv
17,나이지리아,Nigeria,NGA,아프리카 > 사하라 이남 > 서부아프리카,54.95,71.05,22.46,96.18,70.96,22.68,27.73,100.0,낮음,높음/보완장치 필요,고수요·고위험: 국제기구/인도지원 연계형,N,Y,97.26751,26.0,0.4406,0.539,131.0,288,60,6,17208500.52,공공행정(77); 기술환경에너지(75); 농림수산(62),공공정책 및 행정관리(32); 기술연구개발(18); 정보통신기술(17); 교육정책 및 행정관리(15); 농업정책 및 행정관리(15),"공공행정, 기술환경에너지",100.0,0,100.0,V2.1_KOICA+WDI+PolicyAlignment+RiskFeasibility; CPS PDF RAG parsed separately in KODA_cps_pdf_chunks.csv
18,파키스탄,Pakistan,PAK,아시아 > 서남 및 중앙아시아,54.34,53.14,14.82,90.44,57.61,68.14,35.44,100.0,중간,높음/보완장치 필요,탐색 후보,Y,Y,92.07809,32.0,0.4183,0.557,108.0,176,32,6,19692450.68,공공행정(67); 기술환경에너지(53); 농림수산(17),공공정책 및 행정관리(33); 비특정분야(12); 도시개발 및 관리(9); 에너지정책 및 행정관리(8); 수자원정책 및 행정관리(8),"공공행정, 기술환경에너지",100.0,0,100.0,V2.1_KOICA+WDI+PolicyAlignment+RiskFeasibility; CPS PDF RAG parsed separately in KODA_cps_pdf_chunks.csv
19,우즈베키스탄,Uzbekistan,UZB,아시아 > 서남 및 중앙아시아,53.94,30.06,37.64,97.62,21.61,76.76,55.82,100.0,높음,중간/검증 필요,탐색 후보,Y,Y,73.10389,25.0,0.6665,0.72,69.0,421,80,6,64218113.2,공공행정(131); 교육(107); 기술환경에너지(100),공공정책 및 행정관리(63); 정보통신기술(27); 교육정책 및 행정관리(23); 도시개발 및 관리(21); 비특정분야(16),"공공행정, 교육",100.0,0,100.0,V2.1_KOICA+WDI+PolicyAlignment+RiskFeasibility; CPS PDF RAG parsed separately in KODA_cps_pdf_chunks.csv
20,방글라데시,Bangladesh,BGD,아시아 > 서남 및 중앙아시아,53.9,43.14,26.01,93.94,39.5,74.65,36.75,100.0,중간,높음/보완장치 필요,탐색 후보,Y,Y,85.7,26.0,0.5189,0.632,168.0,289,51,6,45710232.1,공공행정(98); 기술환경에너지(49); 교육(37),공공정책 및 행정관리(46); 운송정책 및 행정관리(15); 비특정분야(15); 정보통신기술(13); 보건정책 및 행정관리(11),"공공행정, 기술환경에너지",100.0,0,100.0,V2.1_KOICA+WDI+PolicyAlignment+RiskFeasibility; CPS PDF RAG parsed separately in KODA_cps_pdf_chunks.csv
21,스리랑카,Sri Lanka,LKA,아시아 > 서남 및 중앙아시아,53.53,34.38,26.27,93.2,30.58,76.64,61.51,100.0,높음,중간/검증 필요,탐색 후보,Y,Y,81.8,38.0,0.6708,0.782,99.0,297,63,6,43155410.64,공공행정(77); 교육(63); 기술환경에너지(61),"공공정책 및 행정관리(38); 정보통신기술(17); 의료서비스(14); 교육정책 및 행정관리(13); 전문대,대학(원) 교육(13)","공공행정, 교육",100.0,0,100.0,V2.1_KOICA+WDI+PolicyAlignment+RiskFeasibility; CPS PDF RAG parsed separately in KODA_cps_pdf_chunks.csv
22,케냐,Kenya,KEN,아프리카 > 사하라 이남 > 동부아프리카,52.11,59.43,18.89,96.05,61.6,24.64,42.08,100.0,낮음,높음/보완장치 필요,탐색 후보,N,Y,90.31587,28.0,0.5326,0.601,56.0,234,51,6,19411090.66,공공행정(83); 기술환경에너지(53); 교육(32),공공정책 및 행정관리(34); 정보통신기술(15); 보건정책 및 행정관리(12); 비특정분야(12); 교육정책 및 행정관리(11),"공공행정, 기술환경에너지",100.0,0,100.0,V2.1_KOICA+WDI+PolicyAlignment+RiskFeasibility; CPS PDF RAG parsed separately in KODA_cps_pdf_chunks.csv
23,카메룬,Cameroon,CMR,아프리카 > 사하라 이남 > 중부아프리카,51.91,61.38,28.55,94.89,55.7,23.45,25.37,100.0,낮음,높음/보완장치 필요,탐색 후보,N,Y,97.85508,25.0,0.4325,0.563,167.0,351,55,6,30515413.93,공공행정(102); 기술환경에너지(74); 농림수산(57),공공정책 및 행정관리(53); 교육정책 및 행정관리(18); 정보통신기술(18); 비특정분야(15); 통신정책 및 행정관리(14),"공공행정, 기술환경에너지",100.0,0,100.0,V2.1_KOICA+WDI+PolicyAlignment+RiskFeasibility; CPS PDF RAG parsed separately in KODA_cps_pdf_chunks.csv
24,키르기스스탄,Kyrgyz Republic,KGZ,아시아 > 서남 및 중앙아시아,51.6,31.6,27.15,96.13,27.42,69.14,57.35,100.0,중간,중간/검증 필요,탐색 후보,Y,Y,73.92936,30.0,0.6749,0.697,80.0,336,67,6,27764776.17,공공행정(99); 기술환경에너지(83); 교육(59),공공정책 및 행정관리(55); 정보통신기술(24); 도시개발 및 관리(17); 에너지정책 및 행정관리(15); 농촌개발(13),"공공행정, 기술환경에너지",100.0,0,100.0,V2.1_KOICA+WDI+PolicyAlignment+RiskFeasibility; CPS PDF RAG parsed separately in KODA_cps_pdf_chunks.csv
25,파라과이,Paraguay,PRY,아메리카 > 남아메리카,50.65,30.01,24.0,92.84,27.13,73.0,57.58,100.0,중간,중간/검증 필요,탐색 후보,Y,Y,65.17819,28.0,0.6487,0.728,125.0,232,43,6,62387890.07,교육(58); 공공행정(52); 기술환경에너지(45),공공정책 및 행정관리(16); 교육정책 및 행정관리(12); 비특정분야(12); 운송정책 및 행정관리(11); 정보통신기술(11),"교육, 공공행정",100.0,0,100.0,V2.1_KOICA+WDI+PolicyAlignment+RiskFeasibility; CPS PDF RAG parsed separately in KODA_cps_pdf_chunks.csv
26,볼리비아,Bolivia,BOL,아메리카 > 남아메리카,50.36,32.54,19.87,96.9,31.56,68.88,52.27,100.0,중간,중간/검증 필요,탐색 후보,Y,Y,74.96687,31.0,0.6129,0.718,150.0,210,45,6,41310181.23,교육(50); 기술환경에너지(38); 공공행정(36),공공정책 및 행정관리(20); 의료서비스(15); 비특정분야(12); 정보통신기술(9); 농업용수자원(9),"교육, 기술환경에너지",100.0,0,100.0,V2.1_KOICA+WDI+PolicyAlignment+RiskFeasibility; CPS PDF RAG parsed separately in KODA_cps_pdf_chunks.csv
