Country_KR,Sector_Group,Year,Project_Count,Commitment_Raw,Disbursement_Raw
가이아나,긴급구호/취약성,2022,0,0.0,0.0
가이아나,긴급구호/취약성,2023,1,396689.0,396689.0
가이아나,긴급구호/취약성,2024,0,0.0,0.0
가이아나,기타,2019,0,0.0,0.0
가이아나,기타,2020,0,0.0,0.0
가이아나,기타,2021,0,0.0,0.0
가이아나,기타,2022,0,0.0,0.0
가이아나,기타,2023,0,0.0,0.0
가이아나,기타,2024,0,0.0,0.0
감비아,공공행정,2019,3,51057.0,51057.0
감비아,공공행정,2020,0,0.0,0.0
감비아,공공행정,2021,2,202050.0,202050.0
감비아,공공행정,2022,1,174470.0,174470.0
감비아,공공행정,2023,0,0.0,0.0
감비아,공공행정,2024,2,0.98,0.98
감비아,교육,2019,1,11249.0,11249.0
감비아,교육,2020,0,0.0,0.0
감비아,교육,2021,0,0.0,0.0
감비아,교육,2022,0,0.0,0.0
감비아,교육,2023,0,0.0,0.0
감비아,교육,2024,0,0.0,0.0
감비아,보건의료,2019,0,0.0,0.0
감비아,보건의료,2020,0,0.0,0.0
감비아,보건의료,2021,0,0.0,0.0
감비아,보건의료,2022,0,0.0,0.0
감비아,보건의료,2023,0,0.0,0.0
감비아,보건의료,2024,1,0.01,0.01
감비아,기술환경에너지,2019,2,10958.0,10958.0
감비아,기술환경에너지,2020,0,0.0,0.0
감비아,기술환경에너지,2021,0,0.0,0.0
감비아,기술환경에너지,2022,0,0.0,0.0
감비아,기술환경에너지,2023,0,0.0,0.0
감비아,기술환경에너지,2024,0,0.0,0.0
감비아,농림수산,2019,1,7106.0,7106.0
감비아,농림수산,2020,0,0.0,0.0
감비아,농림수산,2021,0,0.0,0.0
감비아,농림수산,2022,0,0.0,0.0
감비아,농림수산,2023,1,9920.0,9920.0
감비아,농림수산,2024,0,0.0,0.0
감비아,긴급구호/취약성,2019,2,19711.0,19711.0
감비아,긴급구호/취약성,2020,0,0.0,0.0
감비아,긴급구호/취약성,2021,0,0.0,0.0
감비아,긴급구호/취약성,2022,0,0.0,0.0
감비아,긴급구호/취약성,2023,0,0.0,0.0
감비아,긴급구호/취약성,2024,0,0.0,0.0
감비아,기타,2019,1,21531.0,21531.0
감비아,기타,2020,0,0.0,0.0
감비아,기타,2021,0,0.0,0.0
감비아,기타,2022,0,0.0,0.0
감비아,기타,2023,0,0.0,0.0
감비아,기타,2024,0,0.0,0.0
과테말라,공공행정,2019,6,238335.0,1584090.0
과테말라,공공행정,2020,2,9656.0,26619.0
과테말라,공공행정,2021,4,374699.0,416827.0
과테말라,공공행정,2022,4,361146.0,361146.0
과테말라,공공행정,2023,4,125550.0,125550.0
과테말라,공공행정,2024,6,8.14,0.14
과테말라,교육,2019,0,0.0,0.0
과테말라,교육,2020,0,0.0,0.0
과테말라,교육,2021,1,127447.0,127447.0
과테말라,교육,2022,0,0.0,0.0
과테말라,교육,2023,1,723925.0,723925.0
과테말라,교육,2024,0,0.0,0.0
과테말라,보건의료,2019,0,0.0,0.0
과테말라,보건의료,2020,0,0.0,0.0
과테말라,보건의료,2021,0,0.0,0.0
과테말라,보건의료,2022,0,0.0,0.0
과테말라,보건의료,2023,0,0.0,0.0
과테말라,보건의료,2024,0,0.0,0.0
과테말라,기술환경에너지,2019,7,361120.0,353423.0
과테말라,기술환경에너지,2020,2,148710.0,149582.0
과테말라,기술환경에너지,2021,4,9178007.0,1601663.0
과테말라,기술환경에너지,2022,4,451178.0,1653903.0
과테말라,기술환경에너지,2023,3,14101.0,2695212.0
과테말라,기술환경에너지,2024,4,0.15,0.61
과테말라,농림수산,2019,0,0.0,0.0
과테말라,농림수산,2020,1,57235.0,57235.0
과테말라,농림수산,2021,2,88541.0,90309.0
과테말라,농림수산,2022,1,2014.0,1762.0
과테말라,농림수산,2023,3,100264.0,100264.0
과테말라,농림수산,2024,1,0.13,0.13
과테말라,긴급구호/취약성,2019,1,6532.0,6532.0
과테말라,긴급구호/취약성,2020,1,98670.0,98670.0
과테말라,긴급구호/취약성,2021,0,0.0,0.0
과테말라,긴급구호/취약성,2022,0,0.0,0.0
과테말라,긴급구호/취약성,2023,0,0.0,0.0
과테말라,긴급구호/취약성,2024,0,0.0,0.0
과테말라,기타,2019,2,182588.0,182588.0
과테말라,기타,2020,2,319184.0,319184.0
과테말라,기타,2021,1,307973.0,307973.0
과테말라,기타,2022,1,204710.0,204710.0
과테말라,기타,2023,2,81903.0,81903.0
과테말라,기타,2024,2,0.18,0.18
그레나다,공공행정,2019,1,18175.0,18175.0
그레나다,공공행정,2020,0,0.0,0.0
그레나다,공공행정,2021,0,0.0,0.0
그레나다,공공행정,2022,0,0.0,0.0
그레나다,공공행정,2023,0,0.0,0.0
그레나다,공공행정,2024,2,0.03,0.03
그레나다,교육,2019,0,0.0,0.0
그레나다,교육,2020,0,0.0,0.0
그레나다,교육,2021,0,0.0,0.0
그레나다,교육,2022,0,0.0,0.0
그레나다,교육,2023,1,27895.0,27895.0
그레나다,교육,2024,0,0.0,0.0
그레나다,보건의료,2019,1,141595.0,141595.0
그레나다,보건의료,2020,0,0.0,0.0
그레나다,보건의료,2021,0,0.0,0.0
그레나다,보건의료,2022,0,0.0,0.0
그레나다,보건의료,2023,0,0.0,0.0
그레나다,보건의료,2024,0,0.0,0.0
그레나다,기술환경에너지,2019,0,0.0,0.0
그레나다,기술환경에너지,2020,0,0.0,0.0
그레나다,기술환경에너지,2021,0,0.0,0.0
그레나다,기술환경에너지,2022,0,0.0,0.0
그레나다,기술환경에너지,2023,2,565003.0,437333.0
그레나다,기술환경에너지,2024,0,0.0,0.0
그레나다,농림수산,2019,0,0.0,0.0
그레나다,농림수산,2020,0,0.0,0.0
그레나다,농림수산,2021,0,0.0,0.0
그레나다,농림수산,2022,0,0.0,0.0
그레나다,농림수산,2023,0,0.0,0.0
그레나다,농림수산,2024,2,0.04,0.04
그레나다,긴급구호/취약성,2019,0,0.0,0.0
그레나다,긴급구호/취약성,2020,0,0.0,0.0
그레나다,긴급구호/취약성,2021,0,0.0,0.0
그레나다,긴급구호/취약성,2022,0,0.0,0.0
그레나다,긴급구호/취약성,2023,0,0.0,0.0
그레나다,긴급구호/취약성,2024,0,0.0,0.0
그레나다,기타,2019,0,0.0,0.0
그레나다,기타,2020,0,0.0,0.0
그레나다,기타,2021,0,0.0,0.0
그레나다,기타,2022,0,0.0,0.0
그레나다,기타,2023,0,0.0,0.0
그레나다,기타,2024,1,0.0,0.11
그외 지역 또는 다수국가 (미배분),공공행정,2019,7,58227747.0,58430288.0
그외 지역 또는 다수국가 (미배분),공공행정,2020,7,66071117.0,66258317.0
그외 지역 또는 다수국가 (미배분),공공행정,2021,7,69802049.0,69802049.0
그외 지역 또는 다수국가 (미배분),공공행정,2022,7,67548592.0,67548592.0
그외 지역 또는 다수국가 (미배분),공공행정,2023,6,69539305.0,69539305.0
그외 지역 또는 다수국가 (미배분),공공행정,2024,1,83.98,83.98
그외 지역 또는 다수국가 (미배분),교육,2019,0,0.0,0.0
그외 지역 또는 다수국가 (미배분),교육,2020,0,0.0,0.0
그외 지역 또는 다수국가 (미배분),교육,2021,1,829554.0,829554.0
그외 지역 또는 다수국가 (미배분),교육,2022,1,2276865.0,2276865.0
그외 지역 또는 다수국가 (미배분),교육,2023,1,1008175.0,1008175.0
그외 지역 또는 다수국가 (미배분),교육,2024,1,0.17,0.17
그외 지역 또는 다수국가 (미배분),보건의료,2019,1,0.0,1012534.0
그외 지역 또는 다수국가 (미배분),보건의료,2020,0,0.0,0.0
그외 지역 또는 다수국가 (미배분),보건의료,2021,0,0.0,0.0
그외 지역 또는 다수국가 (미배분),보건의료,2022,0,0.0,0.0
그외 지역 또는 다수국가 (미배분),보건의료,2023,0,0.0,0.0
그외 지역 또는 다수국가 (미배분),보건의료,2024,0,0.0,0.0
그외 지역 또는 다수국가 (미배분),기술환경에너지,2019,0,0.0,0.0
그외 지역 또는 다수국가 (미배분),기술환경에너지,2020,0,0.0,0.0
그외 지역 또는 다수국가 (미배분),기술환경에너지,2021,0,0.0,0.0
그외 지역 또는 다수국가 (미배분),기술환경에너지,2022,0,0.0,0.0
그외 지역 또는 다수국가 (미배분),기술환경에너지,2023,0,0.0,0.0
그외 지역 또는 다수국가 (미배분),기술환경에너지,2024,2,1.98,1.98
그외 지역 또는 다수국가 (미배분),농림수산,2019,0,0.0,0.0
그외 지역 또는 다수국가 (미배분),농림수산,2020,0,0.0,0.0
그외 지역 또는 다수국가 (미배분),농림수산,2021,0,0.0,0.0
그외 지역 또는 다수국가 (미배분),농림수산,2022,0,0.0,0.0
그외 지역 또는 다수국가 (미배분),농림수산,2023,0,0.0,0.0
그외 지역 또는 다수국가 (미배분),농림수산,2024,0,0.0,0.0
그외 지역 또는 다수국가 (미배분),긴급구호/취약성,2019,3,2387831.0,2387831.0
그외 지역 또는 다수국가 (미배분),긴급구호/취약성,2020,4,1940199.0,1940199.0
그외 지역 또는 다수국가 (미배분),긴급구호/취약성,2021,3,1995644.0,2029249.0
그외 지역 또는 다수국가 (미배분),긴급구호/취약성,2022,3,2214402.0,2214402.0
그외 지역 또는 다수국가 (미배분),긴급구호/취약성,2023,3,4481804.0,4481804.0
그외 지역 또는 다수국가 (미배분),긴급구호/취약성,2024,1,0.52,0.52
그외 지역 또는 다수국가 (미배분),기타,2019,9,25609891.0,25609891.0
그외 지역 또는 다수국가 (미배분),기타,2020,11,25480654.0,25480654.0
그외 지역 또는 다수국가 (미배분),기타,2021,9,31289424.0,31289424.0
그외 지역 또는 다수국가 (미배분),기타,2022,8,28219707.0,28219707.0
그외 지역 또는 다수국가 (미배분),기타,2023,10,30745630.0,30745630.0
그외 지역 또는 다수국가 (미배분),기타,2024,8,22.96,22.96
기니,공공행정,2019,0,0.0,0.0
기니,공공행정,2020,0,0.0,0.0
기니,공공행정,2021,0,0.0,0.0
기니,공공행정,2022,1,26328.0,26328.0
기니,공공행정,2023,1,400000.0,323907.0
기니,공공행정,2024,1,0.0,0.07
기니,교육,2019,1,11249.0,11249.0
기니,교육,2020,0,0.0,0.0
기니,교육,2021,0,0.0,0.0
기니,교육,2022,0,0.0,0.0
기니,교육,2023,0,0.0,0.0
기니,교육,2024,0,0.0,0.0
기니,보건의료,2019,0,0.0,0.0
기니,보건의료,2020,0,0.0,0.0
기니,보건의료,2021,0,0.0,0.0
기니,보건의료,2022,0,0.0,0.0
기니,보건의료,2023,0,0.0,0.0
기니,보건의료,2024,0,0.0,0.0
기니,기술환경에너지,2019,0,0.0,0.0
기니,기술환경에너지,2020,0,0.0,0.0
기니,기술환경에너지,2021,0,0.0,0.0
기니,기술환경에너지,2022,0,0.0,0.0
기니,기술환경에너지,2023,0,0.0,0.0
기니,기술환경에너지,2024,1,0.02,0.02
기니,농림수산,2019,0,0.0,0.0
기니,농림수산,2020,0,0.0,0.0
기니,농림수산,2021,0,0.0,0.0
기니,농림수산,2022,0,0.0,0.0
기니,농림수산,2023,0,0.0,0.0
기니,농림수산,2024,0,0.0,0.0
기니,긴급구호/취약성,2019,0,0.0,0.0
기니,긴급구호/취약성,2020,0,0.0,0.0
기니,긴급구호/취약성,2021,0,0.0,0.0
기니,긴급구호/취약성,2022,0,0.0,0.0
기니,긴급구호/취약성,2023,0,0.0,0.0
